Test Case Name,Build ID,Flaky Frequency,Traceback Coverage,Test Smells,Previous State,Test Size,Flaky or Not
test_is_admin_only,675382206,0.75,0,1,0,37,1
test_is_alpha_only,675382206,0.63,0,2,0,33,1
test_admin_permissions,675382206,0.62,0,0,0,3,1
test_alpha_permissions,675382206,0.6,1,2,0,3,1
test_gamma_permissions,675382206,0.53,1,0,0,38,0
test_gamma_permissions_basic,675382206,0.53,1,0,0,2,0
test_dashboard_endpoint,675382206,0.75,0,0,0,2,1
test_slice_endpoint,675382206,0.84,0,0,0,10,1
test_tag_view_attachment_disabled,675382206,0.38,0,0,0,23,1
test_is_admin_only,673478987,0.73,0,1,0,37,1
test_is_alpha_only,673478987,0.61,0,2,0,33,1
test_admin_permissions,673478987,0.6,0,0,0,3,1
test_alpha_permissions,673478987,0.58,0,2,0,3,1
test_gamma_permissions,673478987,0.5,1,0,0,38,0
test_gamma_permissions_basic,673478987,0.5,1,0,0,2,0
test_load_birth_names,672776651,0.71,0,0,3,1,1
test_load_energy,672776651,0.63,0,0,3,1,1
test_load_unicode_test_data,672776651,0.71,0,0,3,1,1
test_load_world_bank_health_n_pop,672776651,0.83,0,0,3,1,1
test_filter_values_macro,672776651,0.38,0,0,0,42,1
test_get_items_filter,671669571,0.33,1,0,3,7,0
test_is_admin_only,671303501,0.7,0,1,1,37,1
test_is_alpha_only,671303501,0.59,0,2,1,33,1
test_admin_permissions,671303501,0.58,1,0,1,3,1
test_alpha_permissions,671303501,0.56,1,2,1,3,1
test_gamma_permissions,671303501,0.46,1,0,1,38,0
test_gamma_permissions_basic,671303501,0.47,1,0,1,2,0
test_is_admin_only,671270674,0.78,0,1,1,37,1
test_is_alpha_only,671270674,0.63,0,2,1,33,1
test_admin_permissions,671270674,0.61,1,0,1,3,1
test_alpha_permissions,671270674,0.59,1,2,1,3,1
test_gamma_permissions,671270674,0.5,1,0,1,38,0
test_gamma_permissions_basic,671270674,0.5,1,0,1,2,0
test_is_admin_only,670630504,0.75,0,1,0,37,1
test_is_alpha_only,670630504,0.6,0,2,0,33,1
test_admin_permissions,670630504,0.59,0,0,0,3,1
test_alpha_permissions,670630504,0.56,0,2,0,3,1
test_gamma_permissions,670630504,0.46,1,0,0,38,0
test_gamma_permissions_basic,670630504,0.46,1,0,0,2,0
test_run_query_multiple_groupby,670542174,0.33,0,0,0,43,0
test_run_query_no_groupby,670542174,0.33,1,0,0,44,0
test_run_query_order_by_metrics,670542174,0.4,0,0,0,126,1
test_run_query_single_groupby,670542174,0.4,0,0,0,93,1
test_run_query_with_adhoc_metric,670542174,0.33,1,0,0,51,0
test_query_with_expr_groupby_timeseries,670542174,0.63,0,0,0,11,1
test_geojson_query_obj,670542174,0.5,0,0,0,7,1
test_load_birth_names,670542174,0.85,0,0,0,1,1
test_is_admin_only,670348533,0.71,0,1,0,37,1
test_is_alpha_only,670348533,0.57,0,0,0,33,1
test_admin_permissions,670348533,0.56,0,0,0,3,1
test_alpha_permissions,670348533,0.53,1,1,0,3,1
test_gamma_permissions,670348533,0.4,1,0,0,38,0
test_gamma_permissions_basic,670348533,0.41,1,0,0,2,0
test_slices,670348533,0.98,0,0,0,14,1
test_slices,670348533,0.96,0,0,0,14,1
test_db_column_defaults,670348533,0.3,0,0,0,21,1
test_db_column_defaults,669941657,0.33,0,0,0,21,1
test_is_alpha_only,668976879,0.54,0,2,0,33,1
test_admin_permissions,668976879,0.53,0,0,0,3,1
test_gamma_user_schema_access_to_tables,668976879,0.6,0,0,0,4,1
test_load_birth_names,668548338,0.6,0,0,0,1,1
test_load_energy,668548338,0.57,0,0,0,1,1
test_load_unicode_test_data,668548338,0.66,0,0,0,1,1
test_load_world_bank_health_n_pop,668548338,0.82,0,0,0,1,1
test_load_energy,668110915,0.5,0,0,0,1,1
test_load_unicode_test_data,668110915,0.6,0,0,0,1,1
test_load_world_bank_health_n_pop,668110915,0.8,0,0,0,1,1
test_api_v1_query_endpoint,667789179,0.56,0,0,0,23,1
test_cache_key_changes_when_datasource_is_updated,667789179,0.37,0,0,0,13,1
test_query_context_time_range_endpoints,667789179,0.34,0,0,0,8,1
test_get_metrics,667789179,0.33,0,0,0,9,1
test_column_nulls,667789179,0.34,0,0,0,27,1
test_query_obj_merges_all_columns,667789179,0.34,0,0,0,14,1
test_api_v1_query_endpoint,667685980,0.6,0,0,0,23,1
test_cache_key_changes_when_datasource_is_updated,667685980,0.43,0,0,0,13,1
test_query_context_time_range_endpoints,667685980,0.4,0,0,0,8,1
test_sql_mutator,667685980,0.57,0,0,0,20,1
test_geojson_query_obj,667685980,0.4,0,0,0,7,1
test_process_spatial_query_obj,667685980,0.4,0,0,0,24,1
test_filter_nulls,667685980,0.49,0,4,0,53,1
test_column_nulls,667685980,0.4,0,0,0,27,1
test_query_obj_merges_all_columns,667685980,0.4,0,0,0,14,1
test_api_v1_query_endpoint,667586262,0.64,0,0,0,23,1
test_cache_key_changes_when_datasource_is_updated,667586262,0.5,0,0,0,13,1
test_query_context_time_range_endpoints,667586262,0.5,0,0,0,8,1
test_client,667586262,0.64,0,4,0,51,1
test_druid_time_granularities,667586262,0.62,1,2,0,50,0
test_query_with_expr_groupby,667586262,0.67,0,0,0,1,1
test_query_with_expr_groupby_timeseries,667586262,0.6,0,0,0,11,1
test_sql_mutator,667586262,0.66,0,0,0,20,1
test_rls_filter_alters_query,667586262,0.5,0,0,0,0,1
test_rls_filter_doesnt_alter_query,667586262,0.5,0,0,0,0,1
test_has_extra_cache_keys,667586262,0.66,0,0,0,19,1
test_geojson_query_obj,667586262,0.5,0,0,0,7,1
test_process_spatial_query_obj,667586262,0.5,0,0,0,24,1
test_filter_nulls,667586262,0.57,0,4,0,53,1
test_column_nulls,667586262,0.5,0,0,0,27,1
test_query_obj_merges_all_columns,667586262,0.5,0,0,0,14,1
test_load_unicode_test_data,667586262,0.6,0,0,3,1,1
test_load_energy,667586262,0.49,0,0,0,1,1
test_load_world_bank_health_n_pop,667586262,1.05,0,0,0,1,1
test_sqllab_backend_persistence_payload,667586262,0.75,0,0,0,39,1
test_api_v1_query_endpoint,666376003,0.61,0,0,0,23,1
test_cache_key_changes_when_datasource_is_updated,666376003,0.4,0,0,0,13,1
test_query_context_time_range_endpoints,666376003,0.33,0,0,0,8,1
test_client,666376003,0.62,0,4,0,51,1
test_druid_time_granularities,666376003,0.6,1,2,0,50,0
test_query_with_expr_groupby,666376003,0.63,0,0,0,1,1
test_query_with_expr_groupby_timeseries,666376003,0.57,0,1,0,11,1
test_sql_mutator,666376003,0.6,0,0,0,20,1
test_rls_filter_alters_query,666376003,0.33,0,0,0,0,1
test_rls_filter_doesnt_alter_query,666376003,0.33,1,0,0,0,1
test_has_extra_cache_keys,666376003,0.6,0,0,0,19,1
test_geojson_query_obj,666376003,0.33,0,0,0,7,1
test_process_spatial_query_obj,666376003,0.33,1,0,0,24,1
test_filter_nulls,666376003,0.5,0,4,0,53,1
test_column_nulls,666376003,0.33,0,0,0,27,1
test_query_obj_merges_all_columns,666376003,0.33,0,0,0,14,1
test_tablemodelview_add,666376003,0.3,1,0,0,7,0
test_import_csv,666134698,0.71,0,4,0,85,1
test_tablemodelview_list,666134698,0.72,0,2,0,7,1
test_gamma_user_schema_access_to_tables,666134698,0.5,0,0,0,4,1
test_tablemodelview_add,666134698,0.38,1,0,0,7,0
test_dashboard,666134698,0.93,0,2,0,6,1
test_warm_up_cache,666134698,0.81,0,0,0,7,1
test_slices,666134698,0.95,0,1,0,14,1
test_warm_up_cache,665658773,0.58,0,0,0,7,1
test_save_slice,665658773,0.48,0,7,0,48,1
test_slices,665658773,0.67,0,1,0,14,1
test_save_slice,665658773,0.5,0,7,0,48,1
test_filter_nulls,665658773,0.49,0,4,0,53,1
test_load_birth_names,665658773,0.6,0,0,0,1,1
test_save_slice,665658773,0.48,0,7,0,48,1
test_filter_nulls,665658773,0.3,0,4,0,53,1
test_save_slice,665124898,0.5,0,7,0,48,1
test_filter_nulls,665124898,0.33,0,4,0,53,1
test_load_birth_names,665124898,0.38,0,0,0,1,1
test_sqllab_backend_persistence_payload,664054746,0.5,0,0,0,39,1
test_data_as_list_of_lists,664054746,0.33,1,0,0,15,0
test_alias_duplicate,664054746,0.67,0,0,0,6,1
test_explain,664054746,0.67,0,0,0,3,1
test_multi_sql,664054746,0.67,0,0,0,7,1
test_sql_json,664054746,0.67,0,0,0,5,1
test_sql_json_has_access,664054746,0.67,0,0,0,25,1
test_sql_limit,664054746,0.71,0,0,0,20,1
test_run_sync_query_cta_config,664054746,0.4,1,0,0,35,0
test_search_query_on_status,664054746,0.68,0,0,0,12,1
test_data_for_slices,664054746,0.21,1,0,0,13,1
test_get_form_data,663212269,0.33,1,0,0,24,0
test_get_form_data_immune_fields,663212269,0.33,1,0,0,22,0
test_get_form_data_immune_slice,663212269,0.33,1,0,0,14,0
test_get_form_data_no_extra_filters,663212269,0.33,1,0,0,14,0
test_top_n_dashboards_strategy,663212269,0.69,1,1,0,10,0
test_data_for_slices,663212269,0.3,0,0,2,13,1
test_change_database,659712991,0.33,1,0,0,17,0
test_save,659712991,0.5,1,0,0,12,0
test_api_database,659712991,0.93,0,3,0,16,1
test_save,659691769,0.54,1,0,0,12,0
test_api_database,659691769,0.72,0,3,0,16,1
test_import_dashboard_2_slices,659689938,0.33,0,0,0,38,1
test_import_override_dashboard_2_slices,659689938,0.33,0,0,0,30,1
test_external_metadata,659689938,0.41,0,0,0,14,1
test_save,659689938,0.59,1,0,0,12,0
test_query_with_expr_groupby,659689938,0.61,0,0,0,1,1
test_query_with_expr_groupby_timeseries,659689938,0.54,0,1,0,11,1
test_api_database,659689938,0.76,0,3,0,16,1
test_data_for_slices,659689938,0.38,0,0,0,13,1
test_save,659673456,0.63,1,0,0,12,0
test_save_duplicate_key,659673456,0.33,1,0,0,25,0
test_slice_payload_no_data,659673456,1.06,1,0,0,20,0
test_search_query_on_time,659673456,1.01,0,0,0,15,1
test_old_slice_csv_endpoint,658191631,0.58,1,0,0,7,0
test_slice_csv_endpoint,658191631,0.64,1,0,0,7,0
test_slice_query_endpoint,658191631,0.74,1,0,0,7,0
test_cache_value,658191631,0.61,1,0,0,16,0
test_old_slice_json_endpoint,658191631,0.59,1,0,0,9,0
test_slice_json_endpoint,658191631,0.65,1,0,0,4,0
test_slice_payload_no_data,658191631,0.73,1,0,0,20,0
test_slices,658191631,0.66,1,1,0,14,1
test_data_for_slices,658191631,0.26,0,0,1,13,1
test_testconn,658191631,0.85,0,0,0,28,1
test_import_csv,654708729,0.7,0,4,0,85,1
test_tablemodelview_list,654708729,0.69,1,2,0,7,0
test_gamma_user_schema_access_to_tables,654708729,0.33,0,0,0,4,1
test_run_sync_query_cta_config,654708729,0.45,1,0,0,35,0
test_testconn_failed_conn,654708729,0.38,1,0,0,8,0
test_run_async_cta_query_with_lower_limit,652701969,0.33,0,0,0,7,1
test_run_sync_query_cta_config,652701969,0.25,1,0,0,35,0
test_sql_json_cta_dynamic_db,652701969,0.25,1,0,0,11,0
test_run_async_query_cta_config,652586348,0.35,1,1,0,9,0
test_run_sync_query_cta_config,652586348,0.29,1,0,0,35,0
test_presto_extra_table_metadata,652586348,0.6,0,0,0,8,1
test_client,649166008,0.6,0,4,0,51,1
test_druid_time_granularities,649166008,0.58,1,2,0,50,0
test_kv,649166008,0.93,1,0,0,12,0
test_slices,649166008,0.93,0,1,0,14,1
test_run_sync_query_cta_config,647059836,0.16,1,0,0,35,0
test_sql_json_cta_dynamic_db,647059836,0.21,1,0,0,11,0
test_run_async_query_cta_config,647059836,0.31,1,1,0,9,0
test_run_sync_query_cta_config,647028336,0.2,1,0,0,35,0
test_sql_json_cta_dynamic_db,647028336,0.22,1,0,0,11,0
test_run_async_query_cta_config,647028336,0.34,1,1,0,9,0
test_run_sync_query_cta_config,647012629,0.25,1,0,0,35,0
test_sql_json_cta_dynamic_db,647012629,0.23,1,0,0,11,0
test_run_async_query_cta_config,647012629,0.36,1,1,0,9,0
test_run_sync_query_cta_config,647003973,0.33,1,0,0,35,0
test_sql_json_cta_dynamic_db,647003973,0.26,1,0,0,11,0
test_run_async_query_cta_config,647003973,0.4,1,1,0,9,0
test_sqllab_backend_persistence_payload,647002055,0.46,0,0,0,39,1
test_alias_duplicate,647002055,0.65,0,0,0,6,1
test_explain,647002055,0.65,0,0,0,3,1
test_multi_sql,647002055,0.65,0,0,0,7,1
test_sql_json,647002055,0.65,0,0,0,5,1
test_sql_json_has_access,647002055,0.65,0,0,0,25,1
test_sql_limit,647002055,0.7,0,0,0,20,1
test_search_query_on_status,647002055,0.67,0,0,0,12,1
test_sql_json_cta_dynamic_db,647002055,0.38,1,0,0,11,0
test_load_energy,647002055,0.38,0,0,0,1,1
test_load_unicode_test_data,647002055,0.38,0,0,0,1,1
test_old_slice_csv_endpoint,644625072,0.56,0,0,0,7,1
test_old_slice_json_endpoint,644625072,0.58,1,0,0,9,0
test_slice_csv_endpoint,644625072,0.62,1,0,0,7,0
test_slice_json_endpoint,644625072,0.64,1,0,0,4,0
test_query_with_expr_groupby_timeseries,644625072,0.5,0,1,0,11,1
test_old_slice_csv_endpoint,644622736,0.58,0,0,0,7,1
test_old_slice_json_endpoint,644622736,0.6,1,0,0,9,0
test_slice_csv_endpoint,644622736,0.65,1,0,0,7,0
test_slice_json_endpoint,644622736,0.67,1,0,0,4,0
test_query_with_expr_groupby_timeseries,644622736,0.55,0,1,0,11,1
test_old_slice_csv_endpoint,644613027,0.61,0,0,0,7,1
test_old_slice_json_endpoint,644613027,0.62,1,0,0,9,0
test_slice_csv_endpoint,644613027,0.68,1,0,0,7,0
test_slice_json_endpoint,644613027,0.7,1,0,0,4,0
test_query_with_expr_groupby_timeseries,644613027,0.61,0,1,0,11,1
test_search_query_on_time,644613027,0.98,0,0,0,15,1
test_slices,644613027,0.92,1,0,1,14,1
test_api_v1_query_endpoint,644613027,0.81,1,0,1,23,1
test_cache_key_changes_when_datasource_is_updated,644613027,0.3,0,0,1,13,1
test_api_v1_query_endpoint,641674843,0.87,1,0,2,23,1
test_cache_key_changes_when_datasource_is_updated,641674843,0.38,0,0,2,13,1
test_save_slice,641674843,0.48,0,7,0,48,1
test_slices,641674843,0.62,0,1,0,14,1
test_warm_up_cache,641674843,0.56,0,0,0,7,1
test_copy_dash,641674843,0.75,0,4,0,32,1
test_dashboard,641674843,0.64,0,2,0,6,1
test_dashboard_modes,641674843,0.63,0,2,0,11,1
test_dashboard_with_created_by_can_be_accessed_by_public_users,641674843,0.67,0,0,0,9,1
test_public_user_dashboard_access,641674843,0.68,0,0,0,24,1
test_remove_slices,641674843,0.54,0,2,0,24,1
test_set_perm_slice,641674843,0.66,0,0,0,46,1
test_set_perm_sqla_table,641674843,0.6,0,0,0,110,1
test_top_n_dashboards_strategy,641674843,0.67,1,1,0,10,0
test_api_database,641674843,0.75,0,3,0,16,1
test_setup_cache_no_config,641615171,0.2,1,0,0,3,0
test_setup_cache_null_config,641615171,0.14,0,0,0,3,1
test_setup_cache_no_config,641615156,0.16,1,0,1,3,0
test_setup_cache_null_config,641615156,0.12,0,0,1,3,1
test_setup_cache_no_config,641613913,0.25,1,0,0,3,0
test_setup_cache_null_config,641613913,0.16,0,0,0,3,1
test_setup_cache_no_config,641613896,0.33,1,0,1,3,0
test_setup_cache_null_config,641613896,0.2,0,0,1,3,1
test_setup_cache_null_config,641613326,0.25,0,0,0,3,1
test_setup_cache_null_config,641612356,0.33,0,0,2,3,1
test_warm_up_cache,641559277,0.54,0,0,0,7,1
test_save_slice,641559277,0.45,0,7,0,48,1
test_slices,641559277,0.61,0,3,0,14,1
test_warm_up_cache,641548253,0.56,0,0,0,7,1
test_save_slice,641548253,0.47,0,7,0,48,1
test_slices,641548253,0.63,0,3,0,14,1
test_warm_up_cache,641547318,0.6,0,0,0,7,1
test_save_slice,641547318,0.5,0,7,0,48,1
test_slices,641547318,0.65,0,3,0,14,1
test_warm_up_cache,641546887,0.62,0,0,0,7,1
test_save_slice,641546887,0.53,0,7,0,48,1
test_slices,641546887,0.68,0,3,0,14,1
test_warm_up_cache,641545234,0.65,0,0,0,7,1
test_save_slice,641545234,0.56,0,7,0,48,1
test_slices,641545234,0.71,0,3,0,14,1
test_client,641545234,0.83,0,4,0,51,1
test_public_user_dashboard_access,640736100,0.67,0,0,0,24,1
test_gamma_user_schema_access_to_charts,640736100,0.25,1,0,0,9,0
test_client,640736100,0.87,0,4,2,51,1
test_dashboard,640736100,0.93,0,2,0,6,1
test_public_user_dashboard_access,640735595,0.7,1,0,0,24,1
test_gamma_user_schema_access_to_charts,640735595,0.33,1,0,0,9,0
test_dashboard,640735595,0.85,0,2,0,6,1
test_dataframe_timezone,640735595,0.75,0,0,0,13,1
test_export_1_dashboard,637274689,0.46,0,0,0,26,1
test_export_2_dashboards,637274689,0.46,0,0,0,37,1
test_is_admin_only,637274689,0.66,0,1,0,37,1
test_is_alpha_only,637274689,0.5,0,2,0,33,1
test_is_gamma_pvm,637274689,0.66,0,0,0,5,0
test_admin_permissions,637274689,0.5,0,0,0,3,1
test_alpha_permissions,637274689,0.5,1,1,0,3,1
test_gamma_permissions,637274689,0.33,1,0,0,38,0
test_gamma_permissions_basic,637274689,0.36,1,0,0,2,0
test_search_query_on_db_id,637274689,0.61,0,0,0,13,1
test_search_query_on_status,637274689,0.65,0,0,0,12,1
test_search_query_on_text,637274689,0.61,0,2,0,6,1
test_search_query_on_user,637274689,0.61,0,0,0,13,1
test_export_1_dashboard,637144900,0.49,0,0,0,26,1
test_export_2_dashboards,637144900,0.49,0,0,0,37,1
test_is_alpha_only,637144900,0.55,0,2,0,33,1
test_admin_permissions,637144900,0.54,0,0,0,3,1
test_alpha_permissions,637144900,0.54,0,1,0,3,1
test_gamma_permissions,637144900,0.37,1,0,0,38,0
test_gamma_permissions_basic,637144900,0.4,1,0,0,2,0
test_export_1_dashboard,637128288,0.56,0,0,0,26,1
test_export_2_dashboards,637128288,0.56,0,0,0,37,1
test_is_alpha_only,637128288,0.61,0,2,0,33,1
test_admin_permissions,637128288,0.59,0,0,0,3,1
test_alpha_permissions,637128288,0.59,0,1,0,3,1
test_gamma_permissions,637128288,0.43,1,0,0,38,0
test_gamma_permissions_basic,637128288,0.44,1,0,0,2,0
test_is_alpha_only,637009384,0.67,0,2,0,33,1
test_admin_permissions,637009384,0.63,0,0,0,3,1
test_alpha_permissions,637009384,0.63,0,1,0,3,1
test_gamma_permissions,637009384,0.5,1,0,0,38,0
test_gamma_permissions_basic,637009384,0.49,1,0,0,2,0
test_import_csv,636962169,0.68,0,4,0,85,1
test_tablemodelview_list,636962169,0.67,0,2,0,7,1
test_is_admin_only,636962169,0.6,0,1,0,37,1
test_is_alpha_only,636962169,0.75,0,2,0,33,1
test_is_gamma_pvm,636962169,0.6,1,0,0,5,0
test_admin_permissions,636962169,0.7,0,0,0,3,1
test_alpha_permissions,636962169,0.7,1,1,0,3,1
test_gamma_permissions,636962169,0.6,1,0,0,38,0
test_gamma_permissions_basic,636962169,0.57,1,0,0,2,0
test_cache_value,636693851,0.59,0,0,0,16,0
test_cache_key,636693851,0.61,1,0,0,8,0
test_old_slice_csv_endpoint,636693851,0.6,1,0,0,7,0
test_old_slice_json_endpoint,636693851,0.61,1,0,0,9,0
test_slice_csv_endpoint,636693851,0.67,1,0,0,7,0
test_slice_id_is_always_logged_correctly_on_ajax_request,636693851,0.63,1,0,0,7,0
test_slice_json_endpoint,636693851,0.68,1,0,0,4,0
test_slice_payload_invalid_query,636693851,0.74,1,0,0,8,0
test_slice_payload_no_data,636693851,0.71,1,0,0,20,0
test_slice_query_endpoint,636693851,0.72,1,0,0,7,0
test_warm_up_cache,636693851,0.63,0,0,0,7,1
test_client,636693851,0.59,0,4,0,51,1
test_druid_time_granularities,636693851,0.56,1,2,0,50,0
test_slices,636693851,0.7,0,3,0,14,1
test_cache_key,636691184,0.67,1,0,0,8,0
test_warm_up_cache,636691184,0.67,0,0,0,7,1
test_admin_permissions,636625426,0.67,0,0,0,3,1
test_alpha_permissions,636625426,0.67,0,1,0,3,1
test_gamma_permissions_basic,636625426,0.5,1,0,0,2,0
test_testconn,636625426,0.83,0,0,2,28,1
test_admin_permissions,636596666,0.75,0,0,0,3,1
test_alpha_permissions,636596666,0.75,0,1,0,3,1
test_gamma_permissions_basic,636596666,0.6,1,0,0,2,0
test_testconn,636596666,0.87,0,0,0,28,1
test_cache_key,635499302,0.63,1,0,0,8,0
test_warm_up_cache,635499302,0.65,0,0,0,7,1
test_client,635499302,0.56,0,4,0,51,1
test_druid_time_granularities,635499302,0.53,1,2,0,50,0
test_testconn,635499302,0.92,0,0,0,28,1
test_run_async_query_with_lower_limit,630669405,0.75,0,1,0,27,1
test_sql_limit,630669405,0.98,0,0,0,20,1
test_client,630669405,0.53,0,4,0,51,1
test_get_df_handles_dttm_col,630669405,0.33,1,0,0,42,0
test_run_async_query_with_lower_limit,630669405,0.72,0,1,0,27,1
test_run_async_query,627925241,0.6,1,1,0,28,0
test_run_async_query_with_lower_limit,627925241,0.52,0,1,0,27,1
test_sql_json_cta_dynamic_db,627925241,0.26,1,0,0,11,0
test_run_async_query_cta_config,627836972,0.25,1,0,0,9,0
test_run_sync_query_cta_cta_config,627836972,0.25,1,0,0,0,0
test_sql_json_cta_dynamic_db,627836972,0.2,1,0,0,11,0
test_run_async_query_with_lower_limit,627836972,0.54,0,1,0,27,1
test_run_async_query_cta_config,627830512,0.29,1,0,0,9,0
test_run_sync_query_cta_cta_config,627830512,0.29,1,0,0,0,0
test_deliver_slice_inline_image,627830512,0.33,0,0,0,23,1
test_sql_json_cta_dynamic_db,627830512,0.22,1,0,0,11,0
test_run_async_query_with_lower_limit,627830512,0.56,0,1,0,27,1
test_run_async_query_cta_config,627531270,0.16,1,0,0,9,0
test_run_sync_query_cta_cta_config,627531270,0.16,1,0,0,9,0
test_sql_json_cta_dynamic_db,627531270,0.12,1,0,0,11,0
test_run_async_query_with_lower_limit,627531270,0.54,0,1,0,27,1
test_run_async_query_cta_config,627505837,0.2,0,0,0,9,0
test_run_sync_query_cta_cta_config,627505837,0.2,0,0,0,0,0
test_sql_json_cta_dynamic_db,627505837,0.14,1,0,0,11,0
test_run_async_query,627505837,0.58,1,1,0,28,0
test_run_async_query_with_lower_limit,627505837,0.58,0,1,0,27,1
test_run_async_query_cta_config,627496011,0.25,1,0,0,9,0
test_run_sync_query_cta_cta_config,627496011,0.25,1,0,0,0,0
test_sql_json_cta_dynamic_db,627496011,0.16,1,0,0,11,0
test_run_async_query,627496011,0.6,1,1,0,28,0
test_run_async_query_with_lower_limit,627496011,0.6,0,1,0,27,1
test_run_async_query_cta_config,627488446,0.33,1,0,0,9,0
test_run_sync_query_cta_cta_config,627488446,0.33,1,0,0,0,0
test_sql_json_cta_dynamic_db,627488446,0.2,1,0,0,11,0
test_run_async_query,627488446,0.63,1,1,0,28,0
test_run_async_query_with_lower_limit,627488446,0.63,0,1,0,27,1
test_run_sync_query_cta,627078390,0.63,1,0,0,18,0
test_sql_json_cta,627078390,0.2,1,0,0,0,0
test_run_async_query,627078390,0.61,1,1,0,28,0
test_run_async_query_with_lower_limit,627078390,0.61,0,1,0,27,1
test_run_sync_query_cta,627073696,0.66,1,0,0,18,0
test_sql_json_cta,627073696,0.25,1,0,0,0,0
test_run_async_query,627073696,0.65,1,1,0,28,0
test_run_async_query_with_lower_limit,627073696,0.65,0,1,0,27,1
test_run_sync_query_cta,627063298,0.72,1,0,0,18,0
test_sql_json_cta,627063298,0.33,1,0,0,0,0
