Test Case Name,Build ID,Flaky Frequency,Traceback Coverage,Test Smells,Previous State,Test Size,Flaky or Not
test_list_field_mapping,635056351,0.40,0,0,3,36,1
test_hyperlinked_related_queryset_value_error,679331091,0.50,0,0,2,1,0
test_hyperlinked_related_queryset_type_error,679331091,0.50,0,0,2,1,0
test_hyperlinked_related_lookup_exists,679331091,0.50,0,1,2,2,0
test_hyperlinked_related_lookup_does_not_exist,679331091,0.60,0,1,2,4,0
test_hyperlinked_related_lookup_url_encoded_exists,679331091,0.50,0,1,2,2,0
test_path_without_parameters,413943392,0.33,1,0,2,29,1
test_paths_construction,413943392,0.33,1,0,2,12,1
test_schema_construction,413943392,0.33,0,0,2,9,1
test_invalid_inputs,413943392,0.60,0,0,2,8,0
test_list_field_mapping,413943392,0.50,0,0,1,36,1
test_regular_fields,413943392,0.43,0,0,1,33,1
test_ignore_validation_for_null_fields,634027220,0.40,0,0,1,14,0
test_regular_fields,634027220,0.50,0,0,1,33,1
test_nullable_boolean_field_choices,634027220,0.33,1,0,1,16,0
test_field_options,634027220,0.44,0,0,1,17,1
test_ignore_validation_for_null_fields,634026292,0.50,0,0,1,14,0
test_regular_fields,634026292,0.60,0,0,1,33,1
test_field_options,634026292,0.50,0,0,1,17,1
test_coreapi,634026292,0.33,1,0,1,4,0
test_coreapi,531650564,0.38,0,0,1,4,0
test_coreapi,531646565,0.43,0,0,1,4,0
test_coreapi,531643795,0.50,0,0,1,4,0
test_schema_construction,511475527,0.13,0,0,1,9,1
test_paths_construction,511475527,0.13,1,0,1,12,0
test_path_without_parameters,511475527,0.15,0,0,1,29,0
test_path_with_id_parameter,511475527,0.29,0,0,1,35,0
test_coreapi,511475527,0.40,0,0,1,4,0
test_path_with_id_parameter,511442708,0.40,1,0,1,35,0
test_path_without_parameters,511442708,0.18,0,0,1,29,1
test_paths_construction,511442708,0.15,1,0,1,12,0
test_schema_construction,511442708,0.15,1,0,1,9,1
test_regular_fields,425699893,0.33,0,0,1,33,1
test_get_instance_view_filters_out_name_with_filter_backend,418188938,0.50,1,0,1,8,0
test_valid_inputs,415411688,0.33,0,0,1,6,0
test_paths_construction,414075282,0.09,1,0,1,12,0
test_schema_construction,414075282,0.09,1,0,1,9,1
test_paths_construction,414066853,0.11,1,0,1,12,0
test_path_without_parameters,414066853,0.11,1,0,1,29,1
test_schema_construction,414066853,0.11,1,0,1,9,1
test_path_without_parameters,413953104,0.20,0,0,1,29,1
test_paths_construction,413953104,0.20,0,0,1,12,0
test_schema_construction,413953104,0.20,0,0,1,9,1
test_404_not_found_for_invalid_page,741740854,0.71,0,0,0,6,1
test_invalid_page,741740854,0.60,1,0,0,3,0
test_last_page,741740854,0.60,0,4,0,22,1
test_404_not_found_for_invalid_page,741486154,0.67,0,0,0,6,1
test_invalid_page,741486154,0.50,1,0,0,3,0
test_last_page,741486154,0.50,0,4,0,22,1
test_last_page,741283586,0.33,0,4,0,22,1
test_404_not_found_for_invalid_page,741283586,0.60,0,0,0,6,1
test_404_not_found_for_zero_page,741283586,0.60,1,0,0,6,0
test_invalid_page,741283586,0.33,1,0,0,3,0
test_markdown,734801025,0.60,1,0,0,8,0
test_markdown,734692235,0.50,1,0,0,8,0
test_null_is_not_allowed_if_allow_null_is_not_set,734242446,0.50,0,0,0,10,1
test_empty_not_allowed_if_allow_empty_is_set_to_false,734242446,0.33,0,0,0,10,1
test_field_options,724607629,0.50,0,0,0,17,1
test_regular_fields,724607629,0.50,0,0,0,33,1
test_json_field,724607629,0.50,0,0,0,13,1
test_hyperlinked_relations,724607629,0.33,0,0,0,13,1
test_nested_hyperlinked_relations,724607629,0.33,0,0,0,22,1
test_nested_hyperlinked_relations_starred_source,724607629,0.33,0,0,0,27,1
test_nested_relations,724607629,0.33,0,0,0,22,1
test_nested_unique_together_relations,724607629,0.33,0,0,0,16,1
test_pk_relations,724607629,0.33,0,0,0,13,1
test_pk_reverse_foreign_key,724607629,0.33,0,0,0,11,1
test_pk_reverse_many_to_many,724607629,0.33,0,0,0,11,1
test_pk_reverse_one_to_one,724607629,0.33,0,0,0,11,1
test_pk_reverse_through,724607629,0.33,0,0,0,11,1
test_nonPK_foreignkey_model_serializer,724607629,0.33,0,0,0,26,1
test_allow_explict_override,724607629,0.33,0,0,0,16,1
