Failed Test Case,NT-FDUC,Path,Latest Failed Build ID
test_issue5838,35,spaCy/spacy/tests/regression/test_issue5838.py,717390840
test_pickle_vocab,22,spaCy/spacy/tests/serialize/test_serialize_vocab_strings.py,690015635
test_vectors_serialize,19,spaCy/spacy/tests/vocab_vectors/test_vectors.py,690015635
test_attr_pipeline_checks,16,spaCy/spacy/tests/matcher/test_matcher_api.py,689759017
test_issue5152,12,spaCy/spacy/tests/regression/test_issue5152.py,690006342
test_issue242,11,spaCy/spacy/tests/regression/test_issue1-1000.py,689759017
test_issue1727,11,spaCy/spacy/tests/regression/test_issue1501-2000.py,689759017
test_doc_add_entities_set_ents_iob,11,spaCy/spacy/tests/parser/test_ner.py,589391538
test_issue3009,11,spaCy/spacy/tests/regression/test_issue3001-3500.py,576529032
test_issue2564,10,spaCy/spacy/tests/regression/test_issue2501-3000.py,689759017
test_lookups_api,10,spaCy/spacy/tests/vocab_vectors/test_lookups.py,689759017
test_issue5458,9,spaCy/spacy/tests/regression/test_issue5458.py,690015635
test_doc_to_json_underscore_error_serialize,9,spaCy/spacy/tests/doc/test_to_json.py,689759017
test_phrase_matcher_validation,9,spaCy/spacy/tests/matcher/test_phrase_matcher.py,689759017
test_displacy_parse_deps,9,spaCy/spacy/tests/test_displacy.py,577904584
test_pretrain_make_docs,8,spaCy/spacy/tests/test_cli.py,689759017
test_displacy_invalid_arcs,8,spaCy/spacy/tests/test_displacy.py,689759017
test_displacy_raises_for_wrong_type,8,spaCy/spacy/tests/test_displacy.py,689759017
test_add_codes,8,spaCy/spacy/tests/test_errors.py,689759017
test_gold_biluo_overlap,8,spaCy/spacy/tests/test_gold.py,689759017
test_gold_biluo_misalign,8,spaCy/spacy/tests/test_gold.py,689759017
test_iob_to_biluo,8,spaCy/spacy/tests/test_gold.py,689759017
test_tagger_warns_no_lemma_lookups,8,spaCy/spacy/tests/test_lemmatizer.py,689759017
test_roc_auc_score,8,spaCy/spacy/tests/test_scorer.py,689759017
test_add_overlapping_entities,8,spaCy/spacy/tests/doc/test_add_entities.py,689759017
test_doc_from_array_heads_in_bounds,8,spaCy/spacy/tests/doc/test_array.py,689759017
test_doc_api_getitem,8,spaCy/spacy/tests/doc/test_doc_api.py,689759017
test_doc_api_similarity_match,8,spaCy/spacy/tests/doc/test_doc_api.py,689759017
test_doc_from_array_sent_starts,8,spaCy/spacy/tests/doc/test_doc_api.py,689759017
test_doc_retokenize_spans_merge_non_disjoint,8,spaCy/spacy/tests/doc/test_retokenize_merge.py,689759017
test_doc_retokenize_merge_extension_attrs_invalid,8,spaCy/spacy/tests/doc/test_retokenize_merge.py,689759017
test_doc_retokenize_split_heads_error,8,spaCy/spacy/tests/doc/test_retokenize_split.py,689759017
test_doc_retokenize_split_orths_mismatch,8,spaCy/spacy/tests/doc/test_retokenize_split.py,689759017
test_doc_retokenize_split_extension_attrs_invalid,8,spaCy/spacy/tests/doc/test_retokenize_split.py,689759017
test_span_similarity_match,8,spaCy/spacy/tests/doc/test_span.py,689759017
test_span_label_readonly,8,spaCy/spacy/tests/doc/test_span.py,689759017
test_span_kb_id_readonly,8,spaCy/spacy/tests/doc/test_span.py,689759017
test_doc_to_json_underscore_error_attr,8,spaCy/spacy/tests/doc/test_to_json.py,689759017
test_doc_token_api_head_setter,8,spaCy/spacy/tests/doc/test_token_api.py,689759017
test_underscore_raises_for_dup,8,spaCy/spacy/tests/doc/test_underscore.py,689759017
test_underscore_raises_for_invalid,8,spaCy/spacy/tests/doc/test_underscore.py,689759017
test_noun_chunks_is_parsed_de,8,spaCy/spacy/tests/lang/de/test_noun_chunks.py,689759017
test_noun_chunks_is_parsed_es,8,spaCy/spacy/tests/lang/es/test_noun_chunks.py,689759017
test_matcher_basic_check,8,spaCy/spacy/tests/matcher/test_matcher_api.py,689759017
test_matcher_valid_callback,8,spaCy/spacy/tests/matcher/test_matcher_api.py,689759017
test_matcher_remove,8,spaCy/spacy/tests/matcher/test_matcher_logic.py,689759017
test_minimal_pattern_validation,8,spaCy/spacy/tests/matcher/test_pattern_validation.py,689759017
test_attr_validation,8,spaCy/spacy/tests/matcher/test_phrase_matcher.py,689759017
test_phrase_matcher_basic_check,8,spaCy/spacy/tests/matcher/test_phrase_matcher.py,689759017
test_analysis_validate_attrs_valid,8,spaCy/spacy/tests/pipeline/test_analysis.py,689759017
test_analysis_validate_attrs_invalid,8,spaCy/spacy/tests/pipeline/test_analysis.py,689759017
test_entity_ruler_validate,8,spaCy/spacy/tests/pipeline/test_entity_ruler.py,689759017
test_label_types,8,spaCy/spacy/tests/pipeline/test_tagger.py,689759017
test_issue588,8,spaCy/spacy/tests/regression/test_issue1-1000.py,689759017
test_issue1375,8,spaCy/spacy/tests/regression/test_issue1001-1500.py,689759017
test_issue2833,8,spaCy/spacy/tests/regression/test_issue2501-3000.py,689759017
test_serialize_doc_exclude,8,spaCy/spacy/tests/serialize/test_serialize_doc.py,689759017
test_vectors_similarity_TD,8,spaCy/spacy/tests/vocab_vectors/test_similarity.py,689759017
test_vectors_similarity_TS,8,spaCy/spacy/tests/vocab_vectors/test_similarity.py,689759017
test_stringstore_retrieve_id,8,spaCy/spacy/tests/vocab_vectors/test_stringstore.py,689759017
test_vectors_most_similar,8,spaCy/spacy/tests/vocab_vectors/test_vectors.py,689759017
test_vectors_span_span_similarity,8,spaCy/spacy/tests/vocab_vectors/test_vectors.py,689759017
test_vectors_span_doc_similarity,8,spaCy/spacy/tests/vocab_vectors/test_vectors.py,689759017
test_vocab_add_vector,8,spaCy/spacy/tests/vocab_vectors/test_vectors.py,689759017
test_lang_initialize,7,spaCy/spacy/tests/lang/test_initialize.py,713314552
test_kb_invalid_entities,7,spaCy/spacy/tests/pipeline/test_entity_linker.py,689759017
test_kb_invalid_probabilities,7,spaCy/spacy/tests/pipeline/test_entity_linker.py,689759017
test_kb_invalid_combination,7,spaCy/spacy/tests/pipeline/test_entity_linker.py,689759017
test_kb_invalid_entity_vector,7,spaCy/spacy/tests/pipeline/test_entity_linker.py,689759017
test_append_alias,7,spaCy/spacy/tests/pipeline/test_entity_linker.py,689759017
test_append_invalid_alias,7,spaCy/spacy/tests/pipeline/test_entity_linker.py,689759017
test_issue4674,7,spaCy/spacy/tests/regression/test_issue4674.py,689759017
test_en_parser_noun_chunks_dative,7,spaCy/spacy/tests/lang/en/test_parser.py,689730947
test_create_from_words_and_text,6,spaCy/spacy/tests/doc/test_creation.py,689759017
test_serialize_pipe_exclude,6,spaCy/spacy/tests/serialize/test_serialize_pipeline.py,689759017
test_issue1915,6,spaCy/spacy/tests/regression/test_issue1501-2000.py,689751308
test_noun_chunks_is_parsed_el,5,spaCy/spacy/tests/lang/el/test_noun_chunks.py,689751308
test_noun_chunks_is_parsed,5,spaCy/spacy/tests/lang/en/test_noun_chunks.py,689751308
test_noun_chunks_is_parsed_fa,5,spaCy/spacy/tests/lang/fa/test_noun_chunks.py,689751308
test_noun_chunks_is_parsed_fr,5,spaCy/spacy/tests/lang/fr/test_noun_chunks.py,689751308
test_noun_chunks_is_parsed_id,5,spaCy/spacy/tests/lang/id/test_noun_chunks.py,689751308
test_noun_chunks_is_parsed_nb,5,spaCy/spacy/tests/lang/nb/test_noun_chunks.py,689751308
test_noun_chunks_is_parsed_sv,5,spaCy/spacy/tests/lang/sv/test_noun_chunks.py,689751308
test_tokenizer_explain,5,spaCy/spacy/tests/tokenizer/test_explain.py,689751308
test_build_dependencies,5,spaCy/spacy/tests/test_requirements.py,654091283
test_doc_retokenize_spans_entity_merge,5,spaCy/spacy/tests/doc/test_retokenize_merge.py,576528847
test_to_disk_resource_warning,4,spaCy/spacy/tests/regression/test_issue5230.py,690015635
test_resource_warning,4,spaCy/spacy/tests/regression/test_issue5230.py,690015635
test_language_update,4,spaCy/spacy/tests/test_language.py,689751308
test_language_pipe,4,spaCy/spacy/tests/test_language.py,689751308
test_component_decorator_assigns,4,spaCy/spacy/tests/pipeline/test_analysis.py,689751308
test_analysis_validate_attrs_remove_pipe,4,spaCy/spacy/tests/pipeline/test_analysis.py,689751308
test_add_pipe_duplicate_name,4,spaCy/spacy/tests/pipeline/test_pipe_methods.py,689751308
test_cant_add_pipe_first_and_last,4,spaCy/spacy/tests/pipeline/test_pipe_methods.py,689751308
test_get_pipe,4,spaCy/spacy/tests/pipeline/test_pipe_methods.py,689751308
test_replace_pipe,4,spaCy/spacy/tests/pipeline/test_pipe_methods.py,689751308
test_rename_pipe,4,spaCy/spacy/tests/pipeline/test_pipe_methods.py,689751308
test_remove_pipe,4,spaCy/spacy/tests/pipeline/test_pipe_methods.py,689751308
test_raise_for_invalid_components,4,spaCy/spacy/tests/pipeline/test_pipe_methods.py,689751308
test_issue3410,4,spaCy/spacy/tests/regression/test_issue3001-3500.py,689751308
test_issue3456,4,spaCy/spacy/tests/regression/test_issue3001-3500.py,689751308
test_issue3880,4,spaCy/spacy/tests/regression/test_issue3880.py,689751308
test_issue4348,4,spaCy/spacy/tests/regression/test_issue4348.py,689751308
test_issue4725,4,spaCy/spacy/tests/regression/test_issue4725.py,689751308
test_issue4849,4,spaCy/spacy/tests/regression/test_issue4849.py,689751308
test_issue4903,4,spaCy/spacy/tests/regression/test_issue4903.py,689751308
test_beam_parse,4,spaCy/spacy/tests/parser/test_nn_beam.py,503042442
test_displacy_parse_ents,3,spaCy/spacy/tests/test_displacy.py,644680464
test_entity_ruler_from_disk_old_format_safe,3,spaCy/spacy/tests/regression/test_issue3526.py,640705786
test_vocab_prune_vectors,3,spaCy/spacy/tests/vocab_vectors/test_vectors.py,601375205
test_issue2179,3,spaCy/spacy/tests/regression/test_issue2001-2500.py,584947763
test_serialize_parser_roundtrip_disk,3,spaCy/spacy/tests/serialize/test_serialize_pipeline.py,584947763
test_serialize_tensorizer_roundtrip_disk,3,spaCy/spacy/tests/serialize/test_serialize_pipeline.py,584947763
test_lt_lemmatizer,3,spaCy/spacy/tests/lang/lt/test_lemmatizer.py,584945983
test_issue1547,3,spaCy/spacy/tests/regression/test_issue1501-2000.py,579648420
test_doc_array_to_from_string_attrs,3,spaCy/spacy/tests/doc/test_array.py,504329613
test_matcher_phrase_matcher,3,spaCy/spacy/tests/matcher/test_phrase_matcher.py,503042456
test_phrase_matcher_bool_attrs,3,spaCy/spacy/tests/matcher/test_phrase_matcher.py,503042456
