Build ID,Test Method,Flaky or Not,Detection Method,Number of Test Smells,Flaky Frequency,Size,Path
734249531,test_tt_tokenizer_handles_testcases,flaky,Traceback Coverage,0,0.25,2,spaCy/spacy/tests/lang/tt/test_tokenizer.py
733751356,test_issue6177,flaky,Traceback Coverage,0,0.25,0,spaCy/spacy/tests/regression/test_issue_6177.py
720238021,test_en_lex_attrs_like_number_for_ordinal,flaky,Traceback Coverage,0,0.20,1,spaCy/spacy/tests/lang/en/test_text.py
697797112,test_serialize_tagger_roundtrip_bytes,flaky,Traceback Coverage,0,0.20,6,spaCy/spacy/tests/serialize/test_serialize_pipeline.py
697796662,test_serialize_tagger_roundtrip_bytes,flaky,Traceback Coverage,0,0.25,6,spaCy/spacy/tests/serialize/test_serialize_pipeline.py
669573184,test_pickle_vocab,flaky,Traceback Coverage,0,0.43,5,spaCy/spacy/tests/serialize/test_serialize_vocab_strings.py
669378055,test_en_lex_attrs_norm_exceptions,flaky,Traceback Coverage,0,0.20,2,spaCy/spacy/tests/lang/en/test_exceptions.py
669378055,test_pickle_vocab,flaky,Traceback Coverage,0,0.33,5,spaCy/spacy/tests/serialize/test_serialize_vocab_strings.py
669374581,test_en_lex_attrs_norm_exceptions,flaky,Traceback Coverage,0,0.25,2,spaCy/spacy/tests/lang/en/test_exceptions.py
669374581,test_pickle_vocab,flaky,Traceback Coverage,0,0.40,5,spaCy/spacy/tests/serialize/test_serialize_vocab_strings.py
655367251,test_da_tokenizer_slash,flaky,Traceback Coverage,0,0.25,2,spaCy/spacy/tests/lang/da/test_exceptions.py
654091283,test_build_dependencies,flaky,Traceback Coverage,0,0.25,0,spaCy/spacy/tests/test_requirements.py
654088673,test_build_dependencies,flaky,Traceback Coverage,0,0.29,0,spaCy/spacy/tests/test_requirements.py
652532368,test_build_dependencies,flaky,Traceback Coverage,0,0.17,0,spaCy/spacy/tests/test_requirements.py
652509302,test_build_dependencies,flaky,Traceback Coverage,0,0.20,0,spaCy/spacy/tests/test_requirements.py
652505111,test_build_dependencies,flaky,Traceback Coverage,0,0.25,0,spaCy/spacy/tests/test_requirements.py
644680464,test_displacy_parse_ents,flaky,Traceback Coverage,0,0.33,7,spaCy/spacy/tests/test_displacy.py
640705786,test_entity_ruler_from_disk_old_format_safe,flaky,Traceback Coverage,0,0.17,10,spaCy/spacy/tests/regression/test_issue3526.py
640705224,test_entity_ruler_from_disk_old_format_safe,flaky,Traceback Coverage,0,0.20,10,spaCy/spacy/tests/regression/test_issue3526.py
640704664,test_entity_ruler_from_disk_old_format_safe,flaky,Traceback Coverage,0,0.25,10,spaCy/spacy/tests/regression/test_issue3526.py
616256746,test_ignore_misaligned,flaky,Traceback Coverage,0,0.40,25,spaCy/spacy/tests/test_gold.py
612033600,test_lb_tokenizer_handles_long_text,flaky,Traceback Coverage,0,0.18,3,spaCy/spacy/tests/lang/lb/test_text.py
612028918,test_lb_tokenizer_handles_long_text,flaky,Traceback Coverage,0,0.20,3,spaCy/spacy/tests/lang/lb/test_text.py
612010003,test_lb_tokenizer_handles_long_text,flaky,Traceback Coverage,0,0.22,3,spaCy/spacy/tests/lang/lb/test_text.py
611996922,test_lb_tokenizer_handles_long_text,flaky,Traceback Coverage,0,0.25,3,spaCy/spacy/tests/lang/lb/test_text.py
611961648,test_lb_tokenizer_handles_long_text,flaky,Traceback Coverage,0,0.29,3,spaCy/spacy/tests/lang/lb/test_text.py
605654697,test_issue4402,flaky,Traceback Coverage,0,0.29,80,spaCy/spacy/tests/regression/test_issue4402.py
602705887,test_roundtrip_docs_to_json,flaky,Traceback Coverage,1,0.33,68,spaCy/spacy/tests/test_gold.py
601376990,test_vocab_prune_vectors,flaky,Traceback Coverage,0,0.38,16,spaCy/spacy/tests/vocab_vectors/test_vectors.py
596528045,test_lb_tokenizer_handles_examples,flaky,Traceback Coverage,0,0.20,2,spaCy/spacy/tests/lang/lb/test_text.py
596521424,test_lb_lex_attrs_norm_exceptions,flaky,Traceback Coverage,0,0.25,0,spaCy/spacy/tests/lang/lb/test_exceptions.py
596521424,test_lb_tokenizer_handles_examples,flaky,Traceback Coverage,0,0.25,2,spaCy/spacy/tests/lang/lb/test_text.py
594548163,test_pretrain_make_docs,flaky,Traceback Coverage,0,0.40,31,spaCy/spacy/tests/test_cli.py
594548163,test_displacy_rtl,flaky,Traceback Coverage,0,0.25,16,spaCy/spacy/tests/test_displacy.py
594548163,test_roundtrip_docs_to_json,flaky,Traceback Coverage,1,0.25,68,spaCy/spacy/tests/test_gold.py
594548163,test_lemmatizer_reflects_lookups_changes,flaky,Traceback Coverage,0,0.25,23,spaCy/spacy/tests/test_lemmatizer.py
594548163,test_tagger_warns_no_lemma_lookups,flaky,Traceback Coverage,0,0.25,13,spaCy/spacy/tests/test_lemmatizer.py
594548163,test_empty_doc,flaky,Traceback Coverage,0,0.25,2,spaCy/spacy/tests/doc/test_creation.py
594548163,test_single_word,flaky,Traceback Coverage,0,0.25,4,spaCy/spacy/tests/doc/test_creation.py
594548163,test_lookup_lemmatization,flaky,Traceback Coverage,0,0.25,5,spaCy/spacy/tests/doc/test_creation.py
594548163,test_doc_api_has_vector,flaky,Traceback Coverage,0,0.25,5,spaCy/spacy/tests/doc/test_doc_api.py
594548163,test_doc_api_similarity_match,flaky,Traceback Coverage,0,0.25,7,spaCy/spacy/tests/doc/test_doc_api.py
594548163,test_pickle_single_doc,flaky,Traceback Coverage,0,0.25,5,spaCy/spacy/tests/doc/test_pickle_doc.py
594548163,test_list_of_docs_pickles_efficiently,flaky,Traceback Coverage,1,0.25,11,spaCy/spacy/tests/doc/test_pickle_doc.py
594548163,test_user_data_from_disk,flaky,Traceback Coverage,0,0.25,6,spaCy/spacy/tests/doc/test_pickle_doc.py
594548163,test_user_data_unpickles,flaky,Traceback Coverage,0,0.25,6,spaCy/spacy/tests/doc/test_pickle_doc.py
594548163,test_hooks_unpickle,flaky,Traceback Coverage,0,0.25,8,spaCy/spacy/tests/doc/test_pickle_doc.py
594548163,test_doc_retokenize_spans_entity_split_iob,flaky,Traceback Coverage,0,0.25,12,spaCy/spacy/tests/doc/test_retokenize_split.py
594548163,test_span_similarity_match,flaky,Traceback Coverage,0,0.25,7,spaCy/spacy/tests/doc/test_span.py
594548163,test_doc_token_api_vectors,flaky,Traceback Coverage,0,0.25,13,spaCy/spacy/tests/doc/test_token_api.py
594548163,test_set_pos,flaky,Traceback Coverage,0,0.25,5,spaCy/spacy/tests/doc/test_token_api.py
594548163,test_token0_has_sent_start_true,flaky,Traceback Coverage,0,0.25,4,spaCy/spacy/tests/doc/test_token_api.py
594548163,test_lang_initialize,flaky,Traceback Coverage,0,0.50,6,spaCy/spacy/tests/lang/test_initialize.py
594548163,test_issue768,flaky,Traceback Coverage,0,0.25,9,spaCy/spacy/tests/lang/fr/test_prefix_suffix_infix.py
594548163,test_add_label,flaky,Traceback Coverage,1,0.22,14,spaCy/spacy/tests/parser/test_add_label.py
594548163,test_get_oracle_actions,flaky,Traceback Coverage,0,0.25,16,spaCy/spacy/tests/parser/test_arc_eager_oracle.py
594548163,test_accept_blocked_token,flaky,Traceback Coverage,0,0.25,40,spaCy/spacy/tests/parser/test_ner.py
594548163,test_overwrite_token,flaky,Traceback Coverage,0,0.25,18,spaCy/spacy/tests/parser/test_ner.py
594548163,test_ruler_before_ner,flaky,Traceback Coverage,0,0.40,17,spaCy/spacy/tests/parser/test_ner.py
594548163,test_ner_before_ruler,flaky,Traceback Coverage,0,0.40,17,spaCy/spacy/tests/parser/test_ner.py
594548163,test_block_ner,flaky,Traceback Coverage,0,0.25,13,spaCy/spacy/tests/parser/test_ner.py
594548163,test_beam_parse,flaky,Traceback Coverage,0,0.33,6,spaCy/spacy/tests/parser/test_nn_beam.py
594548163,test_sentencizer_across_scripts,flaky,Traceback Coverage,0,0.25,5,spaCy/spacy/tests/pipeline/test_sentencizer.py
594548163,test_issue595,flaky,Traceback Coverage,0,0.25,13,spaCy/spacy/tests/regression/test_issue1-1000.py
594548163,test_issue600,flaky,Traceback Coverage,0,0.25,3,spaCy/spacy/tests/regression/test_issue1-1000.py
594548163,test_issue743,flaky,Traceback Coverage,0,0.25,5,spaCy/spacy/tests/regression/test_issue1-1000.py
594548163,test_issue850,flaky,Traceback Coverage,0,0.33,12,spaCy/spacy/tests/regression/test_issue1-1000.py
594548163,test_issue850_basic,flaky,Traceback Coverage,0,0.33,11,spaCy/spacy/tests/regression/test_issue1-1000.py
594548163,test_issue1061,flaky,Traceback Coverage,0,0.25,16,spaCy/spacy/tests/regression/test_issue1001-1500.py
594548163,test_issue1242,flaky,Traceback Coverage,0,0.25,6,spaCy/spacy/tests/regression/test_issue1001-1500.py
594548163,test_issue1250,flaky,Traceback Coverage,0,0.25,8,spaCy/spacy/tests/regression/test_issue1001-1500.py
594548163,test_issue1257,flaky,Traceback Coverage,0,0.25,5,spaCy/spacy/tests/regression/test_issue1001-1500.py
594548163,test_issue1375,flaky,Traceback Coverage,0,0.25,8,spaCy/spacy/tests/regression/test_issue1001-1500.py
594548163,test_issue1387,flaky,Traceback Coverage,0,0.25,11,spaCy/spacy/tests/regression/test_issue1001-1500.py
594548163,test_issue1434,flaky,Traceback Coverage,0,0.33,11,spaCy/spacy/tests/regression/test_issue1001-1500.py
594548163,test_issue1450,flaky,Traceback Coverage,0,0.33,10,spaCy/spacy/tests/regression/test_issue1001-1500.py
594548163,test_issue1488,flaky,Traceback Coverage,1,0.25,18,spaCy/spacy/tests/regression/test_issue1001-1500.py
594548163,test_issue1494,flaky,Traceback Coverage,0,0.25,12,spaCy/spacy/tests/regression/test_issue1001-1500.py
594548163,test_issue1506,flaky,Traceback Coverage,1,0.25,19,spaCy/spacy/tests/regression/test_issue1501-2000.py
594548163,test_issue1537,flaky,Traceback Coverage,0,0.25,21,spaCy/spacy/tests/regression/test_issue1501-2000.py
594548163,test_issue1547,flaky,Traceback Coverage,0,0.43,7,spaCy/spacy/tests/regression/test_issue1501-2000.py
594548163,test_issue1654,flaky,Traceback Coverage,0,0.25,12,spaCy/spacy/tests/regression/test_issue1501-2000.py
594548163,test_issue1757,flaky,Traceback Coverage,0,0.25,10,spaCy/spacy/tests/regression/test_issue1501-2000.py
594548163,test_issue1799,flaky,Traceback Coverage,0,0.25,18,spaCy/spacy/tests/regression/test_issue1501-2000.py
594548163,test_issue1834,flaky,Traceback Coverage,0,0.25,14,spaCy/spacy/tests/regression/test_issue1501-2000.py
594548163,test_issue1883,flaky,Traceback Coverage,0,0.33,7,spaCy/spacy/tests/regression/test_issue1501-2000.py
594548163,test_issue1915,flaky,Traceback Coverage,0,0.21,6,spaCy/spacy/tests/regression/test_issue1501-2000.py
594548163,test_issue1945,flaky,Traceback Coverage,0,0.33,8,spaCy/spacy/tests/regression/test_issue1501-2000.py
594548163,test_issue2179,flaky,Traceback Coverage,0,0.19,11,spaCy/spacy/tests/regression/test_issue2001-2500.py
594548163,test_issue2482,flaky,Traceback Coverage,0,0.36,5,spaCy/spacy/tests/regression/test_issue2001-2500.py
594548163,test_issue2564,flaky,Traceback Coverage,0,0.33,11,spaCy/spacy/tests/regression/test_issue2501-3000.py
594548163,test_issue2671,flaky,Traceback Coverage,0,0.33,20,spaCy/spacy/tests/regression/test_issue2501-3000.py
594548163,test_issue2782,flaky,Traceback Coverage,0,0.25,5,spaCy/spacy/tests/regression/test_issue2501-3000.py
594548163,test_issue2800,flaky,Traceback Coverage,2,0.17,17,spaCy/spacy/tests/regression/test_issue2501-3000.py
