Test Case,Score,NT-FDUC,Size,Number of Test Smells,Latest Dependency Cover,Latest Failed build_id,Path
test_search_query_on_time,9.40,37,15,0,F,643182021,tests/sqllab_tests.py
test_client,9.30,23,51,4,F,641098444,tests/druid_tests.py
test_export_1_dashboard,5.80,19,24,0,F,596725786,tests/import_export_tests.py
test_export_2_dashboards,6.10,19,35,0,F,596725786,tests/import_export_tests.py
test_csv_endpoint,6.40,18,19,2,F,596725786,tests/core_tests.py
test_copy_dash,7.15,17,32,4,F,608452928,tests/dashboard_tests.py
test_search_query_on_user,4.80,14,13,0,F,596725786,tests/sqllab_tests.py
test_sql_json,4.60,13,5,0,F,596725786,tests/sqllab_tests.py
test_doctests,4.40,12,5,0,F,158821457,tests/core_tests.py
test_sql_json_has_access,4.40,12,12,0,F,596725786,tests/sqllab_tests.py
test_save_dash,5.00,11,12,2,F,608452928,tests/dashboard_tests.py
test_only_owners_can_save,4.00,10,13,0,F,608452928,tests/dashboard_tests.py
test_save_dash_with_filter,4.40,8,20,2,F,608452928,tests/dashboard_tests.py
test_save_dash_with_dashboard_title,4.80,8,17,3,F,608452928,tests/dashboard_tests.py
test_slices,4.60,7,13,3,F,596725786,tests/core_tests.py
test_save_slice,7.50,6,59,7,F,596725786,tests/core_tests.py
test_testconn,3.20,6,30,0,F,632737193,tests/core_tests.py
test_templated_sql_json,3.20,6,7,0,F,596725786,tests/core_tests.py
test_search_query_on_status,3.20,6,12,0,F,596725786,tests/sqllab_tests.py
test_run_sync_query_cta,3.00,5,9,0,F,596725786,tests/celery_tests.py
test_run_sync_query_cta_no_data,3.00,5,6,0,F,596725786,tests/celery_tests.py
test_alias_duplicate,3.00,5,6,0,F,596725786,tests/sqllab_tests.py
test_shortner,2.80,4,11,0,F,596725786,tests/core_tests.py
test_gamma,2.80,4,3,0,F,596725786,tests/core_tests.py
test_extra_table_metadata,2.80,4,6,0,F,596725786,tests/core_tests.py
test_public_user_dashboard_access,2.80,4,26,0,F,596725786,tests/dashboard_tests.py
test_external_metadata,3.60,4,14,2,F,596725786,tests/datasource_tests.py
test_existing_feature_flags,2.80,4,1,0,F,596725786,tests/access_tests.py
test_nonexistent_feature_flags,2.80,4,1,0,F,596725786,tests/access_tests.py
