Build ID,Test Method,Flaky or Not,Detection Method,Traceback Cover,Number of Smells,Flaky Frequency,Size,Path
740192125,test_da_noun_chunks,Non-Flaky,Traceback Coverage,T,0,0,0.25,0
737712294,test_tr_tokenizer_handles_allcases,Non-Flaky,Traceback Coverage,T,0,0,0.40,4
736693485,test_tr_tokenizer_handles_allcases,Non-Flaky,Traceback Coverage,T,0,0,0.25,4
735379513,test_tokenizer_handles_long_text,Non-Flaky,Traceback Coverage,T,0,0,0.25,19
735379513,test_mk_lex_attrs_like_number,Non-Flaky,Traceback Coverage,T,0,0,0.25,3
735379513,test_mk_lex_attrs_capitals,Non-Flaky,Traceback Coverage,T,0,0,0.25,2
735379513,test_mk_lex_attrs_like_number_for_ordinal,Non-Flaky,Traceback Coverage,T,0,0,0.25,1
734249531,test_tt_tokenizer_handles_testcases,Flaky,Traceback Coverage,F,0,0,0.25,2
733751356,test_issue6177,Flaky,Traceback Coverage,F,0,0,0.25,0
733086617,test_tr_noun_chunks_flat_simple,Non-Flaky,Traceback Coverage,T,0,0,0.17,11
733086617,test_tr_noun_chunks_flat_name_lastname_and_title,Non-Flaky,Traceback Coverage,T,0,0,0.17,11
733086617,test_tr_noun_chunks_flat_and_chain_nmod,Non-Flaky,Traceback Coverage,T,0,0,0.20,11
733086617,test_tr_noun_chunks_two_flats_conjed,Non-Flaky,Traceback Coverage,T,0,0,0.25,12
733058417,test_issue6207,Non-Flaky,Traceback Coverage,T,0,0,0.25,9
732963963,test_tr_noun_chunks_flat_simple,Non-Flaky,Traceback Coverage,T,0,0,0.20,11
732963963,test_tr_noun_chunks_flat_name_lastname_and_title,Non-Flaky,Traceback Coverage,T,0,0,0.20,11
732963963,test_tr_noun_chunks_flat_and_chain_nmod,Non-Flaky,Traceback Coverage,T,0,0,0.25,11
732936155,test_tr_noun_chunks_flat_simple,Non-Flaky,Traceback Coverage,T,0,0,0.25,11
732936155,test_tr_noun_chunks_flat_name_lastname_and_title,Non-Flaky,Traceback Coverage,T,0,0,0.25,11
732779828,test_tr_noun_chunks_conj_simple,Non-Flaky,Traceback Coverage,T,0,0,0.25,12
732779828,test_tr_noun_chunks_conj_three,Non-Flaky,Traceback Coverage,T,0,0,0.25,26
732779828,test_tr_noun_chunks_conj_subject,Non-Flaky,Traceback Coverage,T,0,0,0.25,12
720296809,test_lex_attrs_like_number,Non-Flaky,Traceback Coverage,T,0,0,0.20,3
720238021,test_lex_attrs_like_number,Non-Flaky,Traceback Coverage,T,0,0,0.22,3
720238021,test_en_lex_attrs_like_number_for_ordinal,Flaky,Traceback Coverage,F,0,0,0.20,1
720238021,test_lex_attrs_like_number,Non-Flaky,Traceback Coverage,T,0,0,0.22,3
720238021,test_he_lex_attrs_like_number_for_ordinal,Non-Flaky,Traceback Coverage,T,0,0,0.20,1
720214659,test_lex_attrs_like_number,Non-Flaky,Traceback Coverage,T,0,0,0.29,3
720214659,test_en_lex_attrs_like_number_for_ordinal,Non-Flaky,Traceback Coverage,T,0,0,0.25,1
720214659,test_lex_attrs_like_number,Non-Flaky,Traceback Coverage,T,0,0,0.29,3
720214659,test_he_lex_attrs_like_number_for_ordinal,Non-Flaky,Traceback Coverage,T,0,0,0.25,1
719348708,test_issue5838,Non-Flaky,Multi-Factor,F,1,0,0.23,8
719271261,test_issue5838,Non-Flaky,Multi-Factor,F,1,0,0.24,8
719238016,test_issue5838,Non-Flaky,Multi-Factor,F,1,0,0.24,8
719223380,test_issue5838,Non-Flaky,Multi-Factor,F,1,0,0.24,8
719214297,test_issue5838,Non-Flaky,Multi-Factor,F,1,0,0.25,8
719137668,test_issue5838,Non-Flaky,Multi-Factor,F,1,0,0.23,8
719132991,test_issue5838,Non-Flaky,Multi-Factor,F,1,0,0.24,8
719132278,test_issue5838,Non-Flaky,Multi-Factor,F,1,0,0.25,8
719132276,test_issue5838,Non-Flaky,Multi-Factor,F,1,0,0.24,8
717390840,test_issue5838,Non-Flaky,Multi-Factor,F,1,0,0.23,8
717370960,test_issue5838,Non-Flaky,Multi-Factor,F,1,0,0.24,8
717273497,test_issue5838,Non-Flaky,Multi-Factor,F,1,0,0.24,8
717253865,test_issue5838,Non-Flaky,Multi-Factor,F,1,0,0.25,8
717253625,test_issue5838,Non-Flaky,Multi-Factor,F,1,0,0.26,8
717220713,test_issue5838,Non-Flaky,Multi-Factor,F,1,0,0.26,8
717220583,test_issue5838,Non-Flaky,Multi-Factor,F,1,0,0.27,8
717215055,test_issue5838,Non-Flaky,Multi-Factor,F,1,0,0.28,8
716973484,test_issue5838,Non-Flaky,Multi-Factor,F,1,0,0.26,8
716864695,test_issue5838,Non-Flaky,Multi-Factor,F,1,0,0.26,8
716853604,test_issue5838,Non-Flaky,Multi-Factor,F,1,0,0.27,8
716842914,test_issue5838,Non-Flaky,Multi-Factor,F,1,0,0.28,8
716694703,test_issue5838,Non-Flaky,Multi-Factor,F,1,0,0.26,8
716676400,test_issue5838,Non-Flaky,Multi-Factor,F,1,0,0.27,8
715878588,test_issue5838,Non-Flaky,Multi-Factor,F,1,0,0.24,8
715142465,test_issue5838,Non-Flaky,Multi-Factor,F,1,0,0.21,8
715137147,test_issue5838,Non-Flaky,Multi-Factor,F,1,0,0.22,8
714813668,test_issue5838,Non-Flaky,Multi-Factor,F,1,0,0.19,8
714780536,test_issue5838,Non-Flaky,Multi-Factor,F,1,0,0.20,8
714780267,test_issue5838,Non-Flaky,Multi-Factor,F,1,0,0.21,8
714750457,test_issue5838,Non-Flaky,Multi-Factor,F,1,0,0.22,8
